Subject,Course #,Course Title,Sec.,Instructor Real Name,Time,Capacity, Building, Room Number
CMSC,104,Problem Solving & Prog.,1,'Staff',tt5:30,40,Sherman Hall,013
CMSC,104,Problem Solving & Prog.,2,'Staff',mw5:30,40,Sherman Hall,013
CMSC,201ss,Computer Science I,1,'Staff',mw2:30,60,Information Technology,227
CMSC,201,Computer Science I,1,'Hamilton, Eric',mw1:00,120,Public Policy,105
CMSC,201,Computer Science I,2,'Johnson, Benjamin',tt5:30,100,Engineering,122, 122A
CMSC,201,Computer Science I,3,'Hamilton, Eric',mw4:00,100,Engineering,122, 122A
CMSC,202,Computer Science II,1,'Dixon, Jeremy',tt10:00,100,Engineering,122, 122A
CMSC,202,Computer Science II,2,'Joeg, Prasanna',mw5:30,100,Engineering,122, 122A
CMSC,202,Computer Science II,3,'Donyaee, Kash',tt2:30,100,Engineering,122, 122A
CMSC,202,Computer Science II,4,'Donyaee, Kash',tt4:00,100,Engineering,122, 122A
CMSC,202,Computer Science II,5,'Dixon, Jeremy',mw1:00,100,Engineering,122, 122A
CMSC,203,Discrete Structures,1,'Wilson, Marcella',tt5:30,80,Public Policy,105
CMSC,203,Discrete Structures,2,'Hamilton, Eric',mw5:30,40,Janet & Walter Sondheim,109
CMSC,203,Discrete Structures,3,'Yesha, Yaacov',tt10:00,40,Sherman Hall,014
CMSC,203,Discrete Structures,4,'Yesha, Yaacov',tt11:30,40,Information Technology,227
CMSC,203,Discrete Structures,5,'Joeg, Prasanna',mw1:00,40,Sherman Hall,013
CMSC,203,Discrete Structures,6,'Joeg, Prasanna',mw2:30,40,Engineering,122, 122A
CMSC,291,Continued Computer Science for Non-Majors,1,'Staff',mw10:00,30,Sherman Hall,013
CMSC,304,Social & Ethical Issues in IT,1,'Staff',tt5:30,40,Math & Psychology,106
CMSC,304,Social & Ethical Issues in IT,2,'Staff',tt7:10,40,Sherman Hall,014
CMSC,304,Social & Ethical Issues in IT,3,'Staff',mw5:30,40,Math & Psychology,106
CMSC,304,Social & Ethical Issues in IT,4,'Staff',mw7:10,40,Information Technology,227
CMSC,304,Social & Ethical Issues in IT,5,'Staff',tt5:30,40,Meyerhoff Chemistry,030
CMSC,304,Social & Ethical Issues in IT,6,'Staff',mw5:30,40,Meyerhoff Chemistry,030
CMSC,313,Comp. Org. & Assembly Lang.,1,'Sekyonda, Ivan',tt11:30,40,Engineering,122, 122A
CMSC,313,Comp. Org. & Assembly Lang.,2,'Sekyonda, Ivan',tt4:00,40,Sherman Hall,013
CMSC,313,Comp. Org. & Assembly Lang.,3,'Kartchner, Jeannette',mw1:00,40,Math & Psychology,106
CMSC,313,Comp. Org. & Assembly Lang.,4,'Sekyonda, Ivan',mw2:30,40,Sherman Hall,014
CMSC,331,Programming Languages,1,'Donyaee, Kash',tt10:00,40,Sherman Hall,013
